entity1,entity2,edge_thickness,edge_weight
765,1348330,6,0.3399350047111511
765,1771587,9,0.7164648771286011
765,2345894,6,0.42313575744628906
765,4019188,6,0.2708606719970703
765,4095924,6,0.430248498916626
765,4848272,16,0.41491520404815674
765,6982432,6,0.30408215522766113
765,18006808,6,0.34773778915405273
765,18949668,7,0.35109883546829224
765,19792942,6,0.16779100894927979
765,26561880,6,0.5404752492904663
765,26563252,6,0.5917401313781738
765,37600898,27,0.7333009243011475
765,37600900,12,0.7726505994796753
7959,9087,1,0.17757391929626465
7959,11542,1,0.6214942336082458
7959,21748,1,0.62578284740448
7959,22954,1,0.593045711517334
7959,24113,10,0.3139374256134033
7959,28151,5,0.612428605556488
7959,28791,1,0.6161708235740662
7959,32070,3,0.16445040702819824
7959,32344,1,0.0
7959,49139,1,0.5809353590011597
7959,51490,1,0.6532412767410278
7959,51885,2,0.515080451965332
7959,53451,1,0.6335802674293518
7959,70603,1,0.5405778288841248
7959,77697,6,0.323647141456604
7959,99860,2,0.5858782529830933
7959,102883,1,0.5405698418617249
7959,105070,1,0.5017234086990356
7959,128027,1,0.20434987545013428
7959,145166,1,0.30324071645736694
7959,147885,5,0.5845922827720642
7959,153149,2,0.5213464498519897
7959,156371,1,0.6041871309280396
7959,168592,1,0.5436004996299744
7959,170653,1,0.5170841217041016
7959,191145,1,0.5783296823501587
7959,219599,1,0.48024338483810425
7959,256024,2,0.36030852794647217
7959,256025,1,0.3146818280220032
7959,265752,2,0.4445454478263855
7959,317524,1,0.3508197069168091
7959,337689,1,0.34540408849716187
7959,369040,1,0.3750075101852417
7959,519775,1,0.5983142852783203
7959,706186,1,0.4356042742729187
7959,1348330,1,0.4310433268547058
7959,1771587,1,0.22934269905090332
7959,2345894,1,0.41946691274642944
7959,4019188,1,0.4472898840904236
7959,4095924,1,0.5439943075180054
7959,4848272,13,0.2803120017051697
7959,6982432,1,0.5482386350631714
7959,18006808,1,0.5210581421852112
7959,18949668,5,0.5393248796463013
7959,19792942,1,0.15476632118225098
7959,26561880,1,0.47685641050338745
7959,26563252,1,0.27403074502944946
7959,37600898,6,0.27568304538726807
7959,37600900,2,0.2851322293281555
9087,11542,1,0.30250364542007446
9087,21748,1,0.0922282338142395
9087,22954,1,0.296786904335022
9087,24113,1,0.0
9087,28151,5,0.0
9087,28791,1,0.0
9087,32070,1,0.0
9087,32344,1,0.481974720954895
9087,49139,1,0.0
9087,51490,1,0.2881656885147095
9087,51885,2,0.0
9087,53451,1,0.33139389753341675
9087,70603,1,0.4043329954147339
9087,77697,1,0.16128724813461304
9087,99860,2,0.29403436183929443
9087,102883,1,0.2816382050514221
9087,105070,1,0.45501643419265747
